offset	next_record_offset	type_code	verdict	path	declared_length	metadata_length	payload_count	payload_tags	payload_offsets	payload_lengths	payload_hashes	xattr_names
13374288023	13374288544	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatsWrong.patternxml	253	253	1	DATA	13374288276	268	None	
13374288544	13374289083	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatsWrongWithMe.patternxml	259	259	1	DATA	13374288803	280	None	
13374289083	13374289663	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhenDoesSantaBringPresents.patternxml	280	280	1	DATA	13374289363	300	None	
13374289663	13374290205	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhenIsWorldEnding.patternxml	260	260	1	DATA	13374289923	282	None	
13374290205	13374290750	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhenIsYourBirthday.patternxml	261	261	1	DATA	13374290466	284	None	
13374290750	13374291274	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhereAreYou.patternxml	254	254	1	DATA	13374291004	270	None	
13374291274	13374291807	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhereDoYouLive.patternxml	257	257	1	DATA	13374291531	276	None	
13374291807	13374292352	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhereDoesMorozLive.patternxml	261	261	1	DATA	13374292068	284	None	
13374292352	13374292897	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhereDoesSantaLive.patternxml	261	261	1	DATA	13374292613	284	None	
13374292897	13374293474	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhereDoesSintNicolaasLive.patternxml	279	279	1	DATA	13374293176	298	None	
13374293474	13374294057	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhereDoesTheChristChildLive.patternxml	281	281	1	DATA	13374293755	302	None	
13374294057	13374294602	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhereIsEasterBunny.patternxml	261	261	1	DATA	13374294318	284	None	
